SubjectGroup,Begin,Rooms,Staff
KSOFG73/KBDIG73 Database Mgmt Sys/L,Monday 10:00,994.Monday,"Deirdre, O'Donovan.Mon"
KSOFG73 MOBILE APPS/L,Monday 12:00,223,"Damien, Costello.Mon"
KSOFG73 GRAPH THEORY Gr A/P,Monday 14:00,PF05,Ian Mcloughlin.Mon
KSOFG73 Software Testing Gr A/P,Monday 16:00.A,0481 CR4.Monday,Martin Hynes.Mon
KSOFG73 SERVER SIDE RAD Gr C/P,Monday 16:00,0436 CR5 Projects/Media.Monday,Gerard Harrison.Mon
KSOFG73 Software Testing Gr C/P,Tuesday 09:00.C,0436 CR5 Projects/Media.Tuesday,Martin Hynes.Tue
KSOFG73 Database Mgmt Systems Gr A/P,Tuesday 09:00,0481 CR4.Tuesday,Patrick Mannion.Tue
KSOFG73 MOBILE APPS Gr A/P,Tuesday 11:00.A,0470 Computing Practical Lab,"Damien, Costello.Tue"
KSOFG73 Database Mgmt Systems Gr C/P,Tuesday 11:00,0482 CR3,"Deirdre, O'Donovan.Tue"
KSOFG73 GRAPH THEORY Gr B/P,Tuesday 12:00,379,Ian Mcloughlin.Tue
KSOFG73 Software Testing Gr B/P,Tuesday 14:00,0436 CR5 Projects/Media.Tuesday.14:00,Martin Hynes.Tue
KSOFG73 SERVER SIDE RAD Gr B/P,Tuesday 16:00,0436 CR5 Projects/Media.Tuesday.16:00,Gerard Harrison.Tue
KSOFG73 GRAPH THEORY Gr C/P,Wednesday 09:00,162,Ian Mcloughlin.Wed
KSOFG73 GRAPH THEORY/L,Wednesday 10:00,938,Ian Mcloughlin.Wed1
KSOFG73 PROFESSIONAL PRACTICE IN IT/L,Wednesday 11:00,208,"Damien, Costello.Wed"
KSOFG73 SERVER SIDE RAD/L,Wednesday 13:00,997,Gerard Harrison.Wed
KSOFG73 Software Testing/L,Wednesday 14:00,994,"Naomi, Regan - Hurley.Wed"
KSOFG73/KCDMG84 Software Testing/lL,Wednesday 15:00,939,Martin Hynes.Wed
KSOFG73/KBDIG73 Database Mgmt Sys/L,Wednesday 16:00,995,"Deirdre, O'Donovan.Wed"
KSOFG73 MOBILE APPS Gr B/P,Thursday 09:00,PF18.Thursday.09:00,"Damien, Costello.Thur"
KSOFG73 MOBILE APPS Gr C/P,Thursday 11:00,PF18.Thursday.11:00,"Damien, Costello.Thur1"
KSOFG73 Database Mgmt Systems Gr C/P,Thursday 14:00.C,0483 CR2,"Deirdre, O'Donovan.Thur"
KSOFG73 SERVER SIDE RAD Gr A/P,Thursday 14:00,0436 CR5 Projects/Media.Thursday,Gerard Harrison.Thur
KSOFG73 Database Mgmt Systems Gr B/P,Friday 09:00,0482 CR3.Friday,"Deirdre, O'Donovan.Fri"
KSOFG73 GRAPH THEORY/L,Friday 11:00,208.Friday,Ian Mcloughlin.Fri
